rowid,action_id,action_name,desc_hover,desc_success,desc_fail
move_walk,move_walk,Walk,Walk,You walk,You cant walk right now
move_run,move_run,Run,Run,You run,You cant run right now
move_jump,move_jump,Jump,Jump,You jump,You cant jump right now
move_leap,move_leap,Leap,Leap,You Leap,You cant leap right now
sleep,sleep,Sleep,Go to Sleep,You sleep,You cant sleep right now
sit,sit,sit,Sit down,You sit down,You cant sit there
climb_up,climb_up,Climb Up,Climb Up,You climb up,You cant climb up there
climb_down,climb_down,Climb down,Climb down,You climb down,You cant climb down there
craft,craft,Craft,Craft an Item,You craft [item],You can't craft [item]
harvest,harvest,Harvest,Harvest crops,You harvest [item],harvesting [item] unsuccessful
chop,chop,Chop,Chop,You chop [item],You can't chop [item]
use,use,Use,Use [item],You use [item],You can't use [item]
eat,eat,Eat,Eat [item],You eat [item],You can't eat [item]
hit,hit,Hit,Hit with [tool],You hit [item] with [tool],You can't hit [item] with [tool]
place,place,Place,Place Item,You place [item],You can't place [item] there
pickup,pickup,Pickup,Pickup an item,You pick up [item],You can't pickup [item]
dig,dig,Dig,Dig with [tool],You dig with [tool],You can't dig with [tool]
mine,mine,Mine,Mine,You mine with [tool],You can't mine with [tool]
plant,plant,Plant,Plant [item],You plant [item],You can't plant [item]
dismantle,dismantle,Dismantle,Dismantle [item],You dismantle item,You can't dismantle item
learn,learn,Learn,Learn [item],You learn [item],You can't learn [item]
