---,recipe_id,item_id,quantity,crafting_method_id
torch1,"torch","plant_sticks","4","attach_misc"
torch2,"torch","tree_sap","1","attach_misc"
wood_plan_pine1,"wood_plank_pine","wood_log_pine","1","cut_saw"
wood_plan_oak1,"wood_plank_oak","wood_log_oak","1","cut_saw"
charcoal1,"charcoal","wood_plank_oak","1","burn_flame"
butter1,"food_butter","food_milk","1","mix"
biscuit1,"food_biscuit","food_egg_yellow","2","mix"
biscuit2,"food_biscuit","food_milk","1","mix"
biscuit3,"food_biscuit","food_flour","3","mix"
furn_chair_pine1,"furn_chair_pine","wood_plank_pine","8","attach_glue"
furn_chair_oak1,"furn_chair_oak","wood_plank_oak","8","attach_glue"
furn_chair_cedar1,"furn_chair_cedar","wood_plank_cedar","8","attach_glue"
furn_table_pine1,"furn_table_pine","wood_plank_pine","2","attach_screw"
furn_table_oak1,"furn_table_oak","wood_plank_oak","2","attach_screw"
furn_table_cedar1,"furn_table_cedar","wood_plank_cedar","2","attach_screw"
furn_shelf_pine1,"furn_shelf_pine","wood_plank_pine","6","attach_screw"
furn_shelf_oak1,"furn_shelf_oak","wood_plank_oak","6","attach_screw"
furn_shelf_cedar1,"furn_shelf_cedar","wood_plank_cedar","6","attach_screw"
bar_copper1,"bar_copper","ore_copper","2","smelt"
bar_iron1,"bar_iron","ore_iron","2","smelt"
bar_silver1,"bar_silver","ore_silver","2","smelt"
bar_gold1,"bar_gold","ore_gold","2","smelt"
bar_titanium1,"bar_titanium","ore_titanium","2","smelt"
pick_copper1,"pick_copper","bar_copper","3","bench"
pick_copper2,"pick_copper","wood_stick_hardwood","1","bench"
food_salt1,"food_salt","bucket","1","smelt"
wood_stick_short1,"wood_stick_short","wood_plank_oak","1","cut_saw"
food_yeast1,"food_yeast","Food_Veg_Potato","1","boil"
food_yeast2,"food_yeast","food_sugar","1","mix"
food_flour1,"food_flour","farm_grass","6","mill"
biscuit4,"food_biscuit","food_butter","1","mix"
food_cook_batter1,"food_cook_batter","food_flour","1","mix"
food_cook_batter2,"food_cook_batter","food_egg_yellow","2","mix"
food_cook_batter3,"food_cook_batter","food_milk","2","mix"
food_cook_dough_ball1,"food_cook_dough_ball","food_flour","2","mix"
food_cook_dough_ball2,"food_cook_dough_ball","food_yeast","1","mix"
food_cheese1,"food_cheese","food_milk","2","mix"
food_cheese2,"food_cheese","food_yeast","1","mix"
Food_Bread_Pizza_Slice1,"Food_Bread_Pizza_Slice","food_cook_dough_ball","1","bake"
Food_Bread_Pizza_Slice2,"Food_Bread_Pizza_Slice","Food_Fruit_Tomato","1","bake"
Food_Bread_Pizza_Slice3,"Food_Bread_Pizza_Slice","food_cheese","1","bake"
food_sandwich_cheese1,"food_sandwich_cheese","food_bread","1","None"
food_sandwich_cheese2,"food_sandwich_cheese","food_butter","1","None"
food_sandwich_cheese3,"food_sandwich_cheese","food_cheese","1","None"
food_bread1,"food_bread","food_cook_dough_ball","1","bake"
food_bread_baguette1,"food_bread_baguette","food_cook_dough_ball","1","bake"
food_bread_sourdough1,"food_bread_sourdough","food_cook_dough_ball","2","bake"
food_bread_sourdough2,"food_bread_sourdough","food_salt","1","bake"
food_cake1,"food_cake","food_flour","2","mix"
food_cake2,"food_cake","food_egg_yellow","3","mix"
food_cake3,"food_cake","food_milk","1","mix"
food_cake4,"food_cake","food_sugar","1","mix"
food_cake5,"food_cake","food_butter","1","mix"
food_sandwich_fritz1,"food_sandwich_fritz","food_bread_sourdough","1","slice"
food_sandwich_fritz2,"food_sandwich_fritz","food_butter","1","None"
food_sandwich_fritz3,"food_sandwich_fritz","food_fritz","1","slice"
food_pancakes1,"food_pancakes","food_cook_batter","1","fry"
food_pancakes2,"food_pancakes","food_butter","1","fry"
food_cream1,"food_cream","food_milk","1","separate"
food_cream_sour1,"food_cream_sour","food_cream","1","None"
food_cream_sour2,"food_cream_sour","Food_Fruit_Lemon","1","None"
food_cook_dough_pasta1,"food_cook_dough_pasta","food_flour","2","sift"
food_cook_dough_pasta2,"food_cook_dough_pasta","food_egg_yellow","5","mix"
wood_plank_cedar1,"wood_plank_cedar","wood_log_cedar","1","cut_saw"
wood_plank_oak1,"wood_plank_oak","wood_log_oak","1","cut_saw"
wood_plank_pine,"wood_plank_pine","wood_log_pine","1","cut_saw"
food_salmon1,"food_salmon","fish_salmon","1","bake"
food_pike1,"food_pike","fish_pike","1","bake"
food_crab1,"food_crab","fish_crab","1","bake"
food_shark1,"food_shark","fish_shark","1","bake"
food_frog1,"food_frog","fish_frog","1","bake"
food_mackerel1,"food_mackerel","fish_mackerel","1","bake"
food_calamari1,"food_calamari","fish_octopus","1","bake"
food_perch1,"food_perch","fish_perch","1","bake"
food_red_eye1,"food_red_eye","fish_red_eye","1","bake"
plant_sludge_seedlings,"plant_sludge_seedlings","plant_seedling","1","hammer"
plant_bark1,"plant_bark","wood_log_cedar","1","cut"
paper1,"paper","plant_bark","1","slice"
book1,"book","paper","20","glue"
book2,"book","tree_sap","1","glue"
food_yeast_mushroom1,"food_yeast_mushroom","pickup_mushroom_basic","1","separate"
food_snail_fried1,"food_snail_fried","animal_snail","1","fry"
cloth_jute1,"cloth_jute","plant_jute_stalks","4","weave"
cloth_cotton1,"cloth_cotton","plant_cotton_raw","4","weave"
Food_Veg_Corn,"Food_Veg_Corn","plant_flower_ZeaMays_02","1","pick"
food_agar,"food_agar","plant_seaweed","1","hammer"
glue_seaweed1,"glue_seaweed","plant_seaweed","1","boil"
glue_sap1,"glue_sap","tree_sap","1","boil"
glue_strong1,"glue_strong","glue_seaweed","1","mix"
glue_strong2,"glue_strong","glue_sap","1","mix"
kitchen_saucer1,"kitchen_saucer","soil_clay","1","turn"
kitchen_plate1,"kitchen_plate","soil_clay","1","turn"
soil_clay1,"soil_clay","dirt_mound","2","sieve"
fishtrap_basic1,"fishtrap_basic","plant_sticks","9","None"
env_campfire1,"env_campfire","plant_sticks","3","None"
furn_table_alluro_oak1,"furn_table_alluro_oak","wood_plank_oak","20","glue"
food_muffin_plain1,"Food_Bread_Muffin","food_cook_dough_ball","1","mix"
food_muffin_plain2,"Food_Bread_Muffin","food_sugar","1","mix"
food_muffin_apple1,"Food_Bread_Muffin_Apple","food_cook_dough_ball","1","mix"
food_muffin_apple2,"Food_Bread_Muffin_Apple","food_sugar","1","mix"
food_muffin_apple3,"Food_Bread_Muffin_Apple","Food_Apple","1","mix"
food_soup_mushroom1,"food_soup_mushroom","pickup_mushroom_basic","4","boil"
food_soup_mushroom1_0,"food_soup_mushroom","food_milk","1","boil"
food_crab_blue1,"food_fish_crab_blue","fish_crab_blue","1","bake"
