---,recipe_id,recipe_name,base_time_to_build,base_cost_to_build,num_produced_per_craft,tools_or_workbench_required
torch,"torch","Torch","1","0","10","(""BP_Station_Workbench"")"
charcoal,"charcoal","Charcoal","3","0","1","(""BP_Station_Workbench"")"
food_butter,"food_butter","Butter","5","0","1","(""BP_Station_Kitchen"")"
food_bread,"food_bread","Bread","4","0","4","(""BP_Station_Kitchen"")"
food_biscuit,"food_biscuit","Biscuit","3","0","12","(""BP_Station_Kitchen"")"
furn_chair_oak,"furn_chair_oak","Chair Oak","2","2","1","(""BP_Station_Workbench"")"
furn_chair_pine,"furn_chair_pine","Chair Pine","2","1","1","(""BP_Station_Workbench"")"
furn_chair_cedar,"furn_chair_cedar","Chair Cedar","2","3","1","(""BP_Station_Workbench"")"
furn_table_pine,"furn_table_pine","Table Pine","4","3","1","(""BP_Station_Workbench"")"
furn_table_oak,"furn_table_oak","Table Oak","4","4","1","(""BP_Station_Workbench"")"
furn_table_cedar,"furn_table_cedar","Table Cedar","4","5","1","(""BP_Station_Workbench"")"
furn_shelf_pine,"furn_shelf_pine","Shelf Pine","1","1","1","(""BP_Station_Workbench"")"
furn_shelf_oak,"furn_shelf_oak","Shelf Oak","1","2","1","(""BP_Station_Workbench"")"
furn_shelf_cedar,"furn_shelf_cedar","Shelf Cedar","1","3","1","(""BP_Station_Workbench"")"
bar_copper,"bar_copper","Copper Bar","2","1","1","(""BP_Station_Furnace"")"
bar_iron,"bar_iron","Iron Bar","2","1","1","(""BP_Station_Furnace"")"
bar_silver,"bar_silver","Silver Bar","2","1","1","(""BP_Station_Furnace"")"
bar_gold,"bar_gold","Gold Bar","2","1","1","(""BP_Station_Furnace"")"
bar_titanium,"bar_titanium","Titanium Bar","2","1","1","(""BP_Station_Furnace"")"
pick_copper,"pick_copper","Copper Pick","1","0","1","(""BP_Station_Workbench"")"
food_salt,"food_salt","Salt","9","0","1","(""bucket"")"
wood_stick_short,"wood_stick_short","Short Wooden Stick","1","0","6","(""BP_Station_Workbench"")"
food_yeast,"food_yeast","Yeast","1","0","4","(""BP_Station_Kitchen"")"
food_flour,"food_flour","Flour","1","0","1","(""BP_Station_Kitchen"")"
food_cook_batter,"food_cook_batter","Pancake Batter","1","0","3","(""BP_Station_Kitchen"")"
food_cook_dough_ball,"food_cook_dough_ball","Dough","3","0","5","(""BP_Station_Kitchen"")"
food_cheese,"food_cheese","Cheese","10","0","8","(""BP_Station_Kitchen"")"
Food_Bread_Pizza_Slice,"Food_Bread_Pizza_Slice","Pizza","2","0","16","(""BP_Station_Kitchen"")"
food_sandwich_cheese,"food_sandwich_cheese","Cheese Sandwich","1","0","6","(""BP_Station_Kitchen"")"
food_bread_sourdough,"food_bread_sourdough","Sourdough Bread","1","0","3","(""BP_Station_Kitchen"")"
food_bread_baguette,"food_bread_baguette","Baguette","1","0","6","(""BP_Station_Kitchen"")"
food_sandwich_fritz,"food_sandwich_fritz","Fritz Sandwich","1","0","4","(""BP_Station_Kitchen"")"
food_cake,"food_cake","Cake","1","0","1","(""BP_Station_Kitchen"")"
food_pancakes,"food_pancakes","Pancakes","1","0","10","(""BP_Station_Kitchen"")"
food_cream,"food_cream","Cream","1","0","1","(""BP_Station_Kitchen"")"
food_cream_sour,"food_cream_sour","Sour Cream","1","0","1","(""BP_Station_Kitchen"")"
food_cook_dough_pasta,"food_cook_dough_pasta","Pasta Dough","1","0","4","(""BP_Station_Kitchen"")"
